,rank,hs_location,recruit_year,state,region,draft_pick,draft_year,drafted
Paul Mociler,41," St. John Bosco (Bellflower, CA)  ",2000,CA,West,,,0
Eric Knott,42," Henry Ford II (Sterling Heights, MI)  ",2000,MI,Midwest,,,0
Chris Rix,43," Santa Margarita Catholic (Rancho Santa Margarita, CA)  ",2000,CA,West,,,0
Teyo Johnson,44," Mira Mesa (San Diego, CA)  ",2000,CA,West,63.0,2003.0,1
Harold James,45," Osceola (Osceola, AR)  ",2000,AR,Southeast,,,0
Chris McKelvy,46," North Penn Shs (Lansdale, PA)  ",2000,PA,Midwest,,,0
Joe McGuire,47," Servite (Anaheim, CA)  ",2000,CA,West,,,0
Brock Edwards,48," Fort Worth Christian School (North Richland Hills, TX)  ",2000,TX,Southwest,,,0
Anthony Bryant,49," Sunshine Sch (Newbern, AL)  ",2000,AL,Southeast,178.0,2005.0,1
Kevin Jones,1," Cardinal O'Hara (Springfield, PA)  ",2001,PA,Midwest,30.0,2004.0,1
Brodie Croyle,2," Westbrook Christian School (Rainbow City, AL)  ",2001,AL,Southeast,85.0,2006.0,1
Roscoe Crosby,3," Union (Union, SC)  ",2001,SC,Southeast,,,0
Reggie Williams,4," Lakes (Lakewood, WA)  ",2001,WA,West,9.0,2004.0,1
Shaun Cody,5," Los Altos (Hacienda Heights, CA)  ",2001,CA,West,37.0,2005.0,1
Tommie Harris,6," Killeen (Killeen, TX)  ",2001,TX,Southwest,14.0,2004.0,1
Marcus Spears,7," University Lab (Baton Rouge, LA)  ",2001,LA,Southeast,20.0,2005.0,1
Marquise Hill,8," De La Salle (New Orleans, LA)  ",2001,LA,Southeast,63.0,2004.0,1
Jabari Davis,9," Tucker (Tucker, GA)  ",2001,GA,Southeast,,,0
Michael Craven,10," La Quinta (La Quinta, CA)  ",2001,CA,West,,,0
Leon Williams,11," Canarsie (Brooklyn, NY)  ",2001,NY,East,110.0,2006.0,1
Kelly Baraka,12," Portage Northern (Portage, MI)  ",2001,MI,Midwest,,,0
Ben Wilkerson,13," Hemphill (Hemphill, TX)  ",2001,TX,Southwest,,,0
Ahmad Carroll,14," Douglass (Atlanta, GA)  ",2001,GA,Southeast,25.0,2004.0,1
Dominic Robinson,15," Diamond Bar (Diamond Bar, CA)  ",2001,CA,West,,,0
Carnell Williams,16," Etowah Sch (Attalla, AL)  ",2001,AL,Southeast,,,0
Joe Mauer,17," Cretin Derham Hall (Saint Paul, MN)  ",2001,MN,Midwest,,,0
D.J. Shockley,18," North Clayton (Atlanta, GA)  ",2001,GA,Southeast,223.0,2006.0,1
Michael Clayton,19," Christian Life Academy (Baton Rouge, LA)  ",2001,LA,Southeast,15.0,2004.0,1
Chris Spencer,20," Madison Central (Madison, MS)  ",2001,MS,Southeast,26.0,2005.0,1
Ernest Shazor,21," Detroit Martin Luther King (Detroit, MI)  ",2001,MI,Midwest,,,0
Eric Shelton,22," Bryan Station (Lexington, KY)  ",2001,KY,Southeast,54.0,2005.0,1
Cecil Howard,23," McKeesport (Mckeesport, PA)  ",2001,PA,Midwest,,,0
Kevin Simon,24," De La Salle (Concord, CA)  ",2001,CA,West,250.0,2006.0,1
Matt Ware,25," Loyola (Los Angeles, CA)  ",2001,CA,West,89.0,2004.0,1
Anttaj Hawthorne,26," Hamden (Hamden, CT)  ",2001,CT,East,175.0,2005.0,1
Mark LeVoir,27," Eden Prairie (Eden Prairie, MN)  ",2001,MN,Midwest,,,0
Cedric Houston,28," Clarendon (Clarendon, AR)  ",2001,AR,Southeast,182.0,2005.0,1
Patrick Estes,29," Benedictine (Richmond, VA)  ",2001,VA,East,248.0,2005.0,1
Jami Hightower,30," Jacksonville (Jacksonville, TX)  ",2001,TX,Southwest,,,0
Lorenzo Alexander,31," St. Mary's (Albany, CA)  ",2001,CA,West,,,0
Cedric Benson,32," Lee (Midland, TX)  ",2001,TX,Southwest,4.0,2005.0,1
Blake Larsen,33," Atlantic (Atlantic, IA)  ",2001,IA,Midwest,,,0
Marlin Jackson,34," Sharon Ms/hs (Sharon, PA)  ",2001,PA,Midwest,29.0,2005.0,1
Ron Lunford,35," Ed White (Jacksonville, FL)  ",2001,FL,Southeast,,,0
Matt Roth,36," Willowbrook (Villa Park, IL)  ",2001,IL,Midwest,46.0,2005.0,1
Jerome Carter,37," Columbia (Lake City, FL)  ",2001,FL,Southeast,117.0,2005.0,1
Andrew Whitworth,38," West Monroe (West Monroe, LA)  ",2001,LA,Southeast,55.0,2006.0,1
Lemarcus Rowell,39," Opelika (Fulton, MS)  ",2001,MS,Southeast,,,0
Derrick Tinsley,40," Marietta (Marietta, GA)  ",2001,GA,Southeast,,,0
Airese Currie,41," Richland Northeast (Columbia, SC)  ",2001,SC,Southeast,140.0,2005.0,1
J.R. Lemon,42," Sandy Creek (Tyrone, GA)  ",2001,GA,Southeast,,,0
Pierre Woods,43," Glenville (Cleveland, OH)  ",2001,OH,Midwest,,,0
Derek Anderson,44," Scappoose (Scappoose, OR)  ",2001,OR,West,213.0,2005.0,1
Craphonso Thorpe,45," Lincoln (Tallahassee, FL)  ",2001,FL,Southeast,116.0,2005.0,1
Robert Boulware,46," Zebulon B. Vance (Charlotte, NC)  ",2001,NC,East,,,0
Tim Massaquoi,47," Parkland (Allentown, PA)  ",2001,PA,Midwest,244.0,2006.0,1
De'Arrius Howard,48," West Memphis (West Memphis, AR)  ",2001,AR,Southeast,,,0
Charles Frederick,49," Pope John Paul II (Boca Raton, FL)  ",2001,FL,Southeast,,,0
Lydell Ross,50," Gaither (Tampa, FL)  ",2001,FL,Southeast,,,0
Vince Young,1," Madison (Houston, TX)  ",2002,TX,Southwest,3.0,2006.0,1
Lorenzo Booker,2," St. Bonaventure (Ventura, CA)  ",2002,CA,West,71.0,2007.0,1
Ryan Moore,3," Dr. Phillips (Orlando, FL)  ",2002,FL,Southeast,,,0
Chris Davis,4," St. Petersburg (Saint Petersburg, FL)  ",2002,FL,Southeast,128.0,2007.0,1
Ben Olson,5," Hillcrest Christian School (Thousand Oaks, CA)  ",2002,CA,West,,,0
Gerald Riggs Jr.,6," Red Bank (Chattanooga, TN)  ",2002,TN,Southeast,,,0
Rodrique Wright,7," Alief Hastings (Houston, TX)  ",2002,TX,Southwest,226.0,2006.0,1
Ciatrick Fason,8," Duncan U. Fletcher (Neptune Beach, FL)  ",2002,FL,Southeast,112.0,2005.0,1
Reggie McNeal,9," Lufkin (Lufkin, TX)  ",2002,TX,Southwest,193.0,2006.0,1
Haloti Ngata,10," Highland (Salt Lake City, UT)  ",2002,UT,West,12.0,2006.0,1
Leon Washington,11," Andrew Jackson (Jacksonville, FL)  ",2002,FL,Southeast,117.0,2006.0,1
Michael Johnson,12," Heritage (Newport News, VA)  ",2002,VA,East,224.0,2007.0,1
Nathan Rhodes,13," East Bakersfield (Bakersfield, CA)  ",2002,CA,West,,,0
Brandon Jefferies,14," Crest (Shelby, NC)  ",2002,NC,East,,,0
Pat Watkins,15," Lincoln (Tallahassee, FL)  ",2002,FL,Southeast,138.0,2006.0,1
Mike D'Andrea,16," Avon Lake (Avon Lake, OH)  ",2002,OH,Midwest,,,0
Ricardo Hurley,17," Greenwood (Greenwood, SC)  ",2002,SC,Southeast,,,0
DiShon Platt,18," Charlotte (Punta Gorda, FL)  ",2002,FL,Southeast,,,0
Justin Blalock,19," Plano East (Plano, TX)  ",2002,TX,Southwest,39.0,2007.0,1
Ahmad Brooks,20," C. D. Hylton (Woodbridge, VA)  ",2002,VA,East,,,0
Derek Morris,21," North Mecklenburg (Huntersville, NC)  ",2002,NC,East,,,0
Marcus Vick,22," Warwick (Newport News, VA)  ",2002,VA,East,,,0
Jerious Norwood,23," Brandon (Brandon, MS)  ",2002,MS,Southeast,79.0,2006.0,1
Marquis Johnson,24," Centennial (Champaign, IL)  ",2002,IL,Midwest,,,0
Trent Edwards,25," Los Gatos (Los Gatos, CA)  ",2002,CA,West,92.0,2007.0,1
Darren Williams,26," Clarksdale (Clarksdale, MS)  ",2002,MS,Southeast,,,0
Devin Hester,27," Suncoast (West Palm Beach, FL)  ",2002,FL,Southeast,57.0,2006.0,1
Bryan Pickryl,28," Jenks (Jenks, OK)  ",2002,OK,Southwest,,,0
James Banks,29," Ben Davis (Indianapolis, IN)  ",2002,IN,Midwest,,,0
Julian Jenkins,30," Woodward Academy (Atlanta, GA)  ",2002,GA,Southeast,156.0,2006.0,1
Ben Obomanu,31," Selma Sch (Selma, AL)  ",2002,AL,Southeast,,,0
Winston Justice,32," Long Beach Poly (Long Beach, CA)  ",2002,CA,West,39.0,2006.0,1
Kedric Golston,33," Sandy Creek (Tyrone, GA)  ",2002,GA,Southeast,196.0,2006.0,1
Justin Zwick,34," Washington (Massillon, OH)  ",2002,OH,Midwest,,,0
Maurice Clarett,35," Warren G Harding (Warren, OH)  ",2002,OH,Midwest,101.0,2005.0,1
Gabe Watson,36," Southfield (Southfield, MI)  ",2002,MI,Midwest,107.0,2006.0,1
Zach Latimer,37," Gateway (Aurora, CO)  ",2002,CO,West,,,0
Marcedes Lewis,38," Long Beach Poly (Long Beach, CA)  ",2002,CA,West,28.0,2006.0,1
Lonnie Davis,39," Ed White (Jacksonville, FL)  ",2002,FL,Southeast,,,0
Marvin Byrdsong,40," Longview (Longview, TX)  ",2002,TX,Southwest,,,0
Kai Parham,41," Princess Anne (Virginia Beach, VA)  ",2002,VA,East,,,0
Gavin Dickey,42," Lincoln (Tallahassee, FL)  ",2002,FL,Southeast,,,0
Rhema McKnight,43," John F. Kennedy (La Palma, CA)  ",2002,CA,West,,,0
Richard Washington,44," Fort Myers (Fort Myers, FL)  ",2002,FL,Southeast,,,0
Eric Winston,45," Lee (Midland, TX)  ",2002,TX,Southwest,66.0,2006.0,1
Parys Haralson,46," Madison Central (Madison, MS)  ",2002,MS,Southeast,140.0,2006.0,1
Kyle Williams,47," Highland Park (Dallas, TX)  ",2002,TX,Southwest,,,0
DeShawn Wynn,48," Reading Community (Cincinnati, OH)  ",2002,OH,Midwest,228.0,2007.0,1
Jason Allen,49," Muscle Shoals  (Muscle Shoals, AL)  ",2002,AL,Southeast,16.0,2006.0,1
Marcus Jackson,50," Norcross (Norcross, GA)  ",2002,GA,Southeast,,,0
Ernie Sims,1," North Florida Christian (Tallahassee, FL)  ",2003,FL,Southeast,9.0,2006.0,1
Whitney Lewis,2," St. Bonaventure (Ventura, CA)  ",2003,CA,West,,,0
Kyle Wright,3," Monte Vista (Danville, CA)  ",2003,CA,West,,,0
Lamarr Woodley,4," Saginaw (Saginaw, MI)  ",2003,MI,Midwest,,,0
Prescott Burgess,5," Warren G Harding (Warren, OH)  ",2003,OH,Midwest,207.0,2007.0,1
Wesley Jefferson,6," Gwynn Park (Brandywine, MD)  ",2003,MD,East,,,0
Andre Caldwell,7," Jefferson (Tampa, FL)  ",2003,FL,Southeast,97.0,2008.0,1
Nate Robinson,8," Irvington (Irvington, NJ)  ",2003,NJ,East,,,0
Demetris Summers,9," Lexington  (Lexington, SC)  ",2003,SC,Southeast,,,0
Greg Olsen,10," Wayne Hills (Wayne, NJ)  ",2003,NJ,East,31.0,2007.0,1
Michael Bush,11," Louisville Male (Louisville, KY)  ",2003,KY,Southeast,100.0,2007.0,1
Chris Leak,12," Independence (Charlotte, NC)  ",2003,NC,East,,,0
Paul Oliver,13," Harrison (Kennesaw, GA)  ",2003,GA,Southeast,,,0
Ofa Mohetau,14," Trinity (Euless, TX)  ",2003,TX,Southwest,,,0
Kregg Lumpkin,15," Stephenson (Stone Mountain, GA)  ",2003,GA,Southeast,,,0
Deljuan Robinson,16," Hernando (Hernando, MS)  ",2003,MS,Southeast,,,0
Reggie Bush,17," Helix (La Mesa, CA)  ",2003,CA,West,2.0,2006.0,1
Jarvis Moss,18," Ryan (Denton, TX)  ",2003,TX,Southwest,17.0,2007.0,1
Jorrie Adams,19," Jasper (Jasper, TX)  ",2003,TX,Southwest,,,0
Joe Cohen,20," Palm Bay Senior (Melbourne, FL)  ",2003,FL,Southeast,135.0,2007.0,1
Dee Webb,21," Ed White (Jacksonville, FL)  ",2003,FL,Southeast,236.0,2006.0,1
Donte Whitner,22," Glenville (Cleveland, OH)  ",2003,OH,Midwest,8.0,2006.0,1
Chad Jackson,23," Hoover (Birmingham, AL)  ",2003,AL,Southeast,36.0,2006.0,1
Lawrence Dampeer,24," MacArthur (Decatur, IL)  ",2003,IL,Midwest,,,0
Robert Meachem,25," Booker T. Washington (Tulsa, OK)  ",2003,OK,Southwest,27.0,2007.0,1
Antonio Cromartie,26," Lincoln (Tallahassee, FL)  ",2003,FL,Southeast,19.0,2006.0,1
Robert Lane,27," Neville (Monroe, LA)  ",2003,LA,Southeast,,,0
Tony Cade,28," Lewisville (Lewisville, TX)  ",2003,TX,Southwest,,,0
Victor Abiamiri,29," Gilman (Baltimore, MD)  ",2003,MD,East,57.0,2007.0,1
Tyrone Moss,30," Blanche Ely (Pompano Beach, FL)  ",2003,FL,Southeast,,,0
Tony Hills,31," Alief Elsik (Houston, TX)  ",2003,TX,Southwest,130.0,2008.0,1
Justin Ostrowski,32," Portage (Portage, WI)  ",2003,WI,Midwest,,,0
Louis Irizarry,33," Ursuline (Youngstown, OH)  ",2003,OH,Midwest,,,0
Justin Warren,34," Robert E Lee (Tyler, TX)  ",2003,TX,Southwest,,,0
Daniel Brooks,35," Jackson Central Merry (Jackson, TN)  ",2003,TN,Southeast,,,0
Steve Smith,36," Taft  (Woodland Hills, CA)  ",2003,CA,West,51.0,2007.0,1
Tommy Grady,37," Edison (Huntington Beach, CA)  ",2003,CA,West,,,0
JaMarcus Russell,38," Lillie B Williamson Sch (Mobile, AL)  ",2003,AL,Southeast,1.0,2007.0,1
Lawrence Jackson,39," Inglewood (Inglewood, CA)  ",2003,CA,West,28.0,2008.0,1
Xavier Lawson-Kennedy,40," Duncanville (Duncanville, TX)  ",2003,TX,Southwest,,,0
Tarell Brown,41," North Mesquite (Mesquite, TX)  ",2003,TX,Southwest,147.0,2007.0,1
Reggie Nelson,42," Palm Bay Senior (Melbourne, FL)  ",2003,FL,Southeast,21.0,2007.0,1
Sean Bailey,43," Milton (Alpharetta, GA)  ",2003,GA,Southeast,,,0
Quinton Culberson,44," Provine (Jackson, MS)  ",2003,MS,Southeast,,,0
Jordy Lipsey,45," Lake Brantley (Altamonte Springs, FL)  ",2003,FL,Southeast,,,0
Martin O'Donnell,46," Downers Grove South (Downers Grove, IL)  ",2003,IL,Midwest,,,0
Amp Hill,47," First Coast (Jacksonville, FL)  ",2003,FL,Southeast,,,0
Chris Barrett,48," Tustin (Tustin, CA)  ",2003,CA,West,,,0
Jayson Swain,49," Virgil Grissom Sch (Huntsville, AL)  ",2003,AL,Southeast,,,0
Turk McBride,50," Woodrow Wilson (Camden, NJ)  ",2003,NJ,East,54.0,2007.0,1
Adrian Peterson,1," Palestine (Palestine, TX)  ",2004,TX,Southwest,7.0,2007.0,1
Ted Ginn Jr.,2," Glenville (Cleveland, OH)  ",2004,OH,Midwest,,,0
Willie Williams,3," Miami Carol City (Opa Locka, FL)  ",2004,FL,Southeast,,,0
Rhett Bomar,4," Grand Prairie (Grand Prairie, TX)  ",2004,TX,Southwest,151.0,2009.0,1
Early Doucet,5," St. Martinville Senior (Saint Martinville, LA)  ",2004,LA,Southeast,81.0,2008.0,1
Brandon Miller,6," Miller County (Coolidge, GA)  ",2004,GA,Southeast,,,0
Keith Rivers,7," Lake Mary (Lake Mary, FL)  ",2004,FL,Southeast,9.0,2008.0,1
Xavier Lee,8," Seabreeze (Daytona Beach, FL)  ",2004,FL,Southeast,,,0
Jeff Byers,9," Loveland (Loveland, CO)  ",2004,CO,West,,,0
Jeff Schweiger,10," Valley Christian (San Jose, CA)  ",2004,CA,West,,,0
Derrick Harvey,11," Eleanor Roosevelt (Greenbelt, MD)  ",2004,MD,East,8.0,2008.0,1
DeMario Pressley,12," Dudley (Greensboro, NC)  ",2004,NC,East,144.0,2008.0,1
Dan Connor,13," Strath Haven Hs (Wallingford, PA)  ",2004,PA,Midwest,74.0,2008.0,1
Fred Davis,14," Rogers (Toledo, OH)  ",2004,OH,Midwest,48.0,2008.0,1
Anthony Morelli,15," Penn Hills (Pittsburgh, PA)  ",2004,PA,Midwest,,,0
Cameron Colvin,16," De La Salle (Concord, CA)  ",2004,CA,West,,,0
Xavier Carter,17," Palm Bay Senior (Melbourne, FL)  ",2004,FL,Southeast,,,0
Chad Henne,18," Wilson (Reading, PA)  ",2004,PA,Midwest,57.0,2008.0,1
Brian Toal,19," Don Bosco Prep  (Ramsey, NJ)  ",2004,NJ,East,,,0
Frank Okam,20," Lake Highlands (Dallas, TX)  ",2004,TX,Southwest,151.0,2008.0,1
Charles Johnson,21," Hawkinsville (Hawkinsville, GA)  ",2004,GA,Southeast,83.0,2007.0,1
Kyle Williams,22," Bolingbrook (Bolingbrook, IL)  ",2004,IL,Midwest,,,0
Calvin Johnson,23," Sandy Creek (Tyrone, GA)  ",2004,GA,Southeast,2.0,2007.0,1
Lance Leggett,24," Grace Preparatory Academy (Arlington, TX)  ",2004,TX,Southwest,,,0
Zach Miller,25," Desert Vista (Phoenix, AZ)  ",2004,AZ,West,180.0,2009.0,1
Matt Tuiasosopo,26," Woodinville Hs (Woodinville, WA)  ",2004,WA,West,,,0
Chris Patterson,27," Hubbard (Chicago, IL)  ",2004,IL,Midwest,,,0
Andrew Kelson,28," Lamar (Houston, TX)  ",2004,TX,Southwest,,,0
Glenn Dorsey,29," East Ascension (Gonzales, LA)  ",2004,LA,Southeast,5.0,2008.0,1
Thomas Herring,30," John C. Fremont Senior (Los Angeles, CA)  ",2004,CA,West,,,0
Demonte Bolden,31," Tyner Academy (Chattanooga, TN)  ",2004,TN,Southeast,,,0
Bobby Reid,32," North Shore (Houston, TX)  ",2004,TX,Southwest,,,0
Roland Martin,33," Harper (Chicago, IL)  ",2004,IL,Midwest,,,0
Charlie Jones,34," South Dade (Homestead, FL)  ",2004,FL,Southeast,,,0
Dwayne Jarrett,35," New Brunswick (New Brunswick, NJ)  ",2004,NJ,East,45.0,2007.0,1
Bobby Washington,36," Killian (Miami, FL)  ",2004,FL,Southeast,,,0
Marcus Walker,37," Waco (Waco, TX)  ",2004,TX,Southwest,,,0
Thomas Brown,38," Tucker (Tucker, GA)  ",2004,GA,Southeast,172.0,2008.0,1
A.J. Bryant,39," Peach County (Fort Valley, GA)  ",2004,GA,Southeast,,,0
James Bryant,40," Reading (Reading, PA)  ",2004,PA,Midwest,,,0
Eric McLendon,41," Vidalia Comprehensive (Vidalia, GA)  ",2004,GA,Southeast,,,0
Tim Jamison,42," Thornton Township (Harvey, IL)  ",2004,IL,Midwest,,,0
Jamaal Edwards,43," Dudley (Greensboro, NC)  ",2004,NC,East,,,0
Brian Brohm,44," Trinity (Louisville, KY)  ",2004,KY,Southeast,56.0,2008.0,1
Kyle Mitchum,45," McDowell (Erie, PA)  ",2004,PA,Midwest,,,0
J.R. Bryant,46," Killian (Miami, FL)  ",2004,FL,Southeast,,,0
Cortney Grixby,47," Central (Omaha, NE)  ",2004,NE,Midwest,,,0
Leon Hart,48," Spring Valley (Columbia, SC)  ",2004,SC,Southeast,,,0
Nikita Stover,49," Hartselle Sch (Hartselle, AL)  ",2004,AL,Southeast,,,0
Kyle Jackson,50," Duncan U. Fletcher (Neptune Beach, FL)  ",2004,FL,Southeast,,,0
Eugene Monroe,1," Plainfield (Plainfield, NJ)  ",2005,NJ,East,8.0,2009.0,1
Patrick Turner,2," Goodpasture Christian School (Madison, TN)  ",2005,TN,Southeast,87.0,2009.0,1
Mark Sanchez,3," Agape Academy (Mission Viejo, CA)  ",2005,CA,West,5.0,2009.0,1
Derrick Williams,4," Eleanor Roosevelt (Greenbelt, MD)  ",2005,MD,East,82.0,2009.0,1
Fred Rouse,5," Lincoln (Tallahassee, FL)  ",2005,FL,Southeast,,,0
Ryan Perrilloux,6," East St. John (Reserve, LA)  ",2005,LA,Southeast,,,0
DeMarcus Granger,7," Kimball (Dallas, TX)  ",2005,TX,Southwest,,,0
Kenneth Phillips,8," Miami Carol City (Opa Locka, FL)  ",2005,FL,Southeast,,,0
Reginald Youngblood,9," Booker T Washington (Dallas, TX)  ",2005,TX,Southwest,,,0
Rey Maualuga,10," Eureka (Eureka, CA)  ",2005,CA,West,38.0,2009.0,1
Tray Blackmon,11," LaGrange (Lagrange, GA)  ",2005,GA,Southeast,,,0
Jonathan Stewart,12," Timberline (Lacey, WA)  ",2005,WA,West,13.0,2008.0,1
Demetrice Morley,13," Killian (Miami, FL)  ",2005,FL,Southeast,,,0
Marlon Lucky,14," North Hollywood Senior (North Hollywood, CA)  ",2005,CA,West,,,0
Justin King,15," Gateway (Monroeville, PA)  ",2005,PA,Midwest,101.0,2008.0,1
Martellus Bennett,16," Alief Taylor (Houston, TX)  ",2005,TX,Southwest,61.0,2008.0,1
Alex Boone,17," St. Edward (Lakewood, OH)  ",2005,OH,Midwest,,,0
Callahan Bright,18," Harriton Shs (Bryn Mawr, PA)  ",2005,PA,Midwest,,,0
Antone Smith,19," Pahokee (Pahokee, FL)  ",2005,FL,Southeast,,,0
Melvin Alaeze,20," Randallstown (Randallstown, MD)  ",2005,MD,East,,,0
Kevin Grady,21," East Grand Rapids (Grand Rapids, MI)  ",2005,MI,Midwest,,,0
DeSean Jackson,22," Long Beach Poly (Long Beach, CA)  ",2005,CA,West,49.0,2008.0,1
Jamario O'Neal,23," Glenville (Cleveland, OH)  ",2005,OH,Midwest,,,0
Jerrell Powe,24," Wayne County (Waynesboro, MS)  ",2005,MS,Southeast,199.0,2011.0,1
Jason Gwaltney,25," North Babylon (North Babylon, NY)  ",2005,NY,East,,,0
Toney Baker,26," Lucy Ragsdale (Jamestown, NC)  ",2005,NC,East,,,0
Kade Weston,27," Red Bank Catholic (Red Bank, NJ)  ",2005,NJ,East,248.0,2010.0,1
Luthur Brown,28," Lakewood (Lakewood, CA)  ",2005,CA,West,,,0
Roy Miller,29," Shoemaker (Killeen, TX)  ",2005,TX,Southwest,81.0,2009.0,1
Anthony Moeaki,30," Wheaton Warrenville South (Wheaton, IL)  ",2005,IL,Midwest,,,0
Brian Cushing,31," Eureka (Eureka, CA)  ",2005,CA,West,15.0,2009.0,1
Darren McFadden,32," Oak Grove (North Little Rock, AR)  ",2005,AR,Southeast,4.0,2008.0,1
Dan Doering,33," Barrington (Barrington, IL)  ",2005,IL,Midwest,,,0
Marques Slocum,34," West Philadelphia Catholic (Philadelphia, PA)  ",2005,PA,Midwest,,,0
Derek Pegues,35," South Panola (Batesville, MS)  ",2005,MS,Southeast,,,0
Dace Richardson,36," Wheaton Warrenville South (Wheaton, IL)  ",2005,IL,Midwest,,,0
DajLeon Farr,37," North Shore (Houston, TX)  ",2005,TX,Southwest,,,0
Michael Oher,38," Briarcrest Christian (Memphis, TN)  ",2005,TN,Southeast,23.0,2009.0,1
Averell Spicer,39," Rancho Cucamonga (Rancho Cucamonga, CA)  ",2005,CA,West,,,0
Victor Harris,40," Highland Springs (Highland Springs, VA)  ",2005,VA,East,,,0
Travis Beckum,41," Oak Creek (Oak Creek, WI)  ",2005,WI,Midwest,100.0,2009.0,1
Derek Nicholson,42," Mount Tabor (Winston Salem, NC)  ",2005,NC,East,,,0
Geno Hayes,43," Madison County (Madison, FL)  ",2005,FL,Southeast,175.0,2008.0,1
Reggie Smith,44," Santa Fe (Edmond, OK)  ",2005,OK,Southwest,75.0,2008.0,1
Rico McCoy,45," St. John's College (Washington, DC)  ",2005,DC,East,,,0
Ryan Reynolds,46," Bishop Gorman (Las Vegas, NV)  ",2005,NV,West,,,0
Ndamukong Suh,47," Grant (Portland, OR)  ",2005,OR,West,2.0,2010.0,1
LaMarcus Coker,48," Antioch (Antioch, TN)  ",2005,TN,Southeast,,,0
Selwyn Lymon,49," Paul Harding (Fort Wayne, IN)  ",2005,IN,Midwest,,,0
Mario Manningham,50," Warren G Harding (Warren, OH)  ",2005,OH,Midwest,95.0,2008.0,1
Andre Smith,1," Huffman (Birmingham, AL)  ",2006,AL,Southeast,6.0,2009.0,1
